Id,Name,Title ID,Release Date,Platform ID
217,Demolition Herby,,1983,4
218,Demon Attack,,1982,4
219,Dice Puzzle,,1983,4
220,Dishaster,,1983,4
221,Dolphin,,1983,4
222,Donkey Kong,,1982,4
223,Donkey Kong Junior,,1983,4
224,Double Dragon,,1989,4
225,Dragon Treasure,,,4
226,Dragonfire,,1982,4
227,Dragonstomper (cassette),,1982,4
228,Dumbo's Flying Circus,,1983,4
229,Dragster,,1980,4
230,Earth Dies Screaming,,1982,4
231,Earth Attack,,,4
232,"Eddy Langfinger, der Museumsdieb",,1983,4
233,Eggomania,,1982,4
234,Eli's Ladder,,1982,4
235,Encounter at L-5,,1982,4
236,Enduro,,1983,4
237,Entombed,,1982,4
238,Escape From The Mindmaster (Cassette),,1982,4
239,Espial,,1984,4
240,Exocet,,1983,4
241,Exocet Missile,,,4
242,Extra Terrestrials,,1984,4
243,Fantastic Voyage,,1982,4
244,Farmer Dan,,,4
245,Fast Eddie,,1982,4
246,Fast Food,,1982,4
247,Fathom,,1983,4
248,Fighter Pilot,,,4
249,Final Approach,,1982,4
250,Fireball (cassette),,1982,4
251,Fire Fighter,,1982,4
252,Fire Fly,,1983,4
253,Fisher Price,,,4
254,Fishing Derby,,1980,4
255,Flash Gordon,,1983,4
256,Frankenstein's Monster,,1983,4
257,Freeway,,1981,4
258,Frogger,,1982,4
259,Frogs and Flies,,1982,4
260,The Official Frogger (cassette),,1983,4
261,Frogger II: Threeedeep!,,1984,4
262,Front Line,,1984,4
263,Frostbite,,1983,4
264,Gamma-Attack,,1983,4
265,Gangster Alley,,1983,4
266,Gas Hog,,1983,4
267,Gauntlet,,1983,4
268,Ghostbusters,,1985,4
269,Ghostbusters II,,1990/1992,4
270,Ghost Manor/Spike's Peak,,1983,4
271,Ghost Manor,,1983,4
272,G.I. Joe: Cobra Strike,,1983,4
273,Gigolo,,1982,4
274,Glacier Patrol,,1983,4
275,Glib,,1983,4
276,Gopher,,1982,4
277,Gorf,,1982,4
278,Grand Prix,,1982,4
279,Great Escape,,1983,4
280,Guardian,,1982,4
281,Gyruss,,1984,4
282,Halloween,,1983,4
283,Harbor Escape,,1983,4
284,H.E.R.O.,,1984,4
285,I Want My Mommy,,1983,4
286,Ice Hockey,,1981,4
287,Inca Gold,,,4
288,Infiltrate,,1982,4
289,International Soccer,,1982,4
290,James Bond 007,,1983,4
291,Jawbreaker,,1982,4
292,Journey Escape,,1982,4
293,Jungle Fever,,1982,4
294,Kaboom!,,1981,4
295,Karate,,1982,4
296,Keystone Kapers,,1983,4
297,Killer Satellites (Cassette),,1982,4
298,King Kong,,1982,4
299,Knight on the Town,,1982,4
300,Kool-Aid Man,,1983,4
301,Kung-Fu Master,,1987,4
302,Lady in Wading,,1982,4
303,Laser Blast,,1981,4
304,Laser Gates,,1983,4
305,Laser Volley,,1983,4
306,Lochjaw,,1982,4
307,Lock 'n' Chase,,1982,4
308,London Blitz,,1983,4
309,Lost Luggage,,1982,4
310,M.A.D.,,1982,4
311,MagiCard,,1981,4
312,Malagai,,1983,4
313,Mangia,,1983,4
314,Marauder,,1982,4
315,Marine Wars,,1983,4
316,M*A*S*H,,1982,4
317,Master Builder,,1983,4
318,Masters of the Universe: The Power of He-Man,,1983,4
319,MegaBoy,,,4
320,Mega Force,,1982,4
321,Megamania,,1982,4
322,Miner 2049er,,1983,4
323,Miner 2049er II,,1982,4
324,Mines of Minos,,1983,4
325,Missile Control,,1983,4
326,Mission 3000 A.D.,,1983,4
327,Mission Survive,,1983,4
328,Mogul Maniac,,1983,4
329,Montezuma's Revenge: Starring Panama Joe,,1984,4
330,Moonsweeper,,1983,4
331,Motocross,,1983,4
332,Motocross Racer,,1984,4
333,Mountain King,,1983,4
334,Mouse Trap,,1982,4
335,Mr. Do!,,1983,4
336,Mr. Do's Castle,,1984,4
337,Mr. Postman,,1983,4
338,The Music Machine,,1983,4
339,My Golf,,1990,4
340,Name This Game,,1982,4
341,Nightmare,,1983,4
342,Night Stalker,,1989,4
343,No Escape!,,1983,4
344,Nuts,,1983,4
345,Ocean City Defender,,,4
346,Off Your Rocker,,1983,4
347,Oink!,,1983,4
348,Omega Race,,1983,4
349,Open Sesame,,1983,4
350,Out of Control,,1983,4
351,Pac-Kong,,1983,4
352,Panda Chase,,,4
353,Parachute,,1983,4
354,Party Mix (cassette),,1983,4
355,Pete Rose Baseball,,1988,4
356,Phantom Tank,,,4
357,Phantom-Panzer,,1983,4
358,Phaser Patrol (cassette),,1982,4
359,Philly Flasher,,1982,4
360,Pick 'n Pile,,1990,4
361,Pick Up,,2002,4
362,Picnic,,1983,4
363,Piece o' Cake,,1983,4
364,Pinball,,,4
365,Piraten-Schiff,,,4
366,Pitfall!,,1982,4
367,Pitfall II: Lost Caverns,,1984,4
368,Planet Patrol,,1983,4
369,Planeten Patrouile,,,4
370,Plaque Attack,,1983,4
371,Polaris,,1982,4
372,Pooyan,,1983,4
373,Popeye,,1983,4
374,Porky's,,1983,4
375,Pressure Cooker,,1983,4
376,Private Eye,,1983,4
377,Pyramid War,,,4
378,Q*bert,,1983,4
379,Q*bert's Qubes,,1984,4
380,Quest for Quintana Roo,,1983,4
381,Quick Step,,1983,4
382,Rabbit Transit (cassette),,1983,4
383,Racquetball,,1981,4
384,Radar,,,4
385,Raft Rider,,1983,4
386,Ram It,,1983,4
387,Rampage,,1989,4
388,Reactor,,1982,4
389,Red Sea Crossing,,1983,4
390,Rescue Terra 1,,1982,4
391,Revenge of the Beefsteak Tomatoes,,1983,4
392,Riddle of the Sphinx,,1982,4
393,River Patrol,,1984,4
394,River Raid,,1982,4
395,River Raid II,,1988,4
396,Robin Hood/Sir Lancelot - The Joust,,1983,4
397,Robin Hood,,1983,4
398,Robot Commando Raid,,,4
399,Robot Tank,,1983,4
400,Roc 'N Rope,,1984,4
401,Room of Doom,,1982,4
402,Save Our Ship,,,4
403,Save the Whales,,1983,4
404,Scraper Caper,,,4
405,Scuba Diver,,,4
406,Sea Hawk,,1988,4
407,Seahawk,,1982,4
408,Seamonster,,1982,4
409,Seaquest,,1983,4
410,Shark Attack,,1982,4
411,Shootin' Gallery,,1983,4
412,Shuttle Orbiter,,1983,4
413,Sir Lancelot,,1983,4
414,Skate Boardin': A Radical Adventure,,1987,4
415,Skeet Shoot,,1981,4
416,Skiing,,1980,4
417,Sky Jinks,,1982,4
418,Sky Skipper,,1983,4
419,Smurf: Rescue in Gargamel's Castle,,1982,4
420,Snail Against Squirrel,,1983,4
421,Sneak 'N Peek,,1982,4
422,Solar Fox,,1983,4
423,Solar Storm,,1983,4
424,Sorcerer,,1983,4
425,Space Adventure,,,4
426,Space Attack,,1982,4
427,Space Canyon,,1983,4
428,Space Cavern,,1982,4
429,Spacechase,,1981,4
430,Space Grid,,,4
431,Space Jockey,,1982,4
432,Spacemaster X-7,,1983,4
433,Space Shuttle: A Journey into Space,,1983,4
434,Spiderdroid,,1987,4
435,Spider Fighter,,1982,4
436,Spider-Man,,1982,4
437,Spider Maze,,,4
438,Spike's Peak,,1983,4
439,Spitfire Attack,,1983,4
440,Springer,,1983,4
441,Spy Hunter,,1984,4
442,Squeeze Box,,1982,4
443,Sssnake,,1982,4
444,Stampede,,1981,4
445,Star Fox,,1983,4
446,Stargunner,,1982,4
447,Starmaster,,1982,4
448,Star Strike,,1982,4
449,Star Trek: Strategic Operations Simulator,,1983,4
450,Star Voyager,,1982,4
451,Star Wars: The Arcade Game,,1984,4
452,Star Wars: Jedi Arena,,1983,4
453,Star Wars Return of the Jedi: Death Star Battle,,1983,4
454,Star Wars: The Empire Strikes Back,,1982,4
455,Strategy X,,1983,4
456,Strawberry Shortcake: Musical Match-ups,,1983,4
457,Stronghold,,1983,4
458,Stunt Man,,1983,4
459,Sub-Scan,,1983,4
460,Subterranea,,1983,4
461,Suicide Mission (cassette),,1982,4
462,Summer Games,,1987,4
463,Super Baumeister,,,4
464,Super Challenge Baseball,,1982,4
465,Super Challenge Football,,1982,4
466,Super Cobra,,1983,4
467,Surfer's Paradise: But Danger Below!,,1983,4
468,Survival Island (cassette),,1983,4
469,Survival Run,,1983,4
470,Swedish Erotica: Bachelor Party,,1983,4
471,Swedish Erotica: Beat' Em &amp; Eat 'Em,,1982,4
472,Swedish Erotica: Custer's Revenge,,1983,4
473,Sword of Saros (cassette),,1983,4
474,Tac-Scan,,1983,4
475,Tank Brigade,,1983,4
476,Tank City,,,4
477,Tanks But No Tanks,,1983,4
478,Tapeworm,,1982,4
479,Tapper,,1984,4
480,Task Force,,1988,4
481,Tax Avoiders,,1982,4
482,Tennis,,1981,4
483,The Texas Chainsaw Massacre,,1983,4
484,The Smurfs Save the Day[13],,1983,4
485,Threshold,,1983,4
486,Thunderground,,1983,4
487,Time Pilot,,1983,4
488,Time Warp,,,4
489,Title Match Pro Wrestling,,1987,4
490,Tomarc The Barbarian,,1983,4
491,Tomcat: The F-14 Fighter Simulator AKA Dan Kitchen's Tomcat: The F-14 Fighter Simulator,,1988,4
492,Tooth Protectors,,1983,4
493,Towering Inferno,,1982,4
494,Treasure Below,,,4
495,Trick Shot,,1983,4
496,Tron: Deadly Discs,,1982,4
497,Tunnel Runner,,1983,4
498,Turmoil,,1982,4
499,Tutankham,,1983,4
500,Universal Chaos,,1983,4
501,Up'n Down,,1984,4
502,Venture,,1982,4
503,Video Jogger,,1983,4
504,Video Life,,1981,4
505,Video Reflex,,1983,4
506,Vulture Attack,,,4
507,Wabbit,,1982,4
508,Wall Ball,,1983,4
509,Wall Defender,,1983,4
510,War Zone,,,4
511,Warplock,,1982,4
512,Weltraumtunnel (Space Tunnel),,1982,4
513,Wing War,,1983,4
514,Winter Games,,1987,4
515,Wizard of Wor,,1982,4
516,Word Zapper,,1982,4
517,Worm War I,,1982,4
518,X-man,,1983,4
519,Z-Tack,,1983,4
520,Zaxxon,,1982,4
521,Zoo Fun,,,4
522,2005 Minigame Multicart,,2005,4
523,2048 2600,,2014,4
524,A-VCS-tec Challenge,,2006,4
525,Alfred Challenge,,1998,4
526,Allia Quest,,2001,4
527,Alien Greed,,2007,4
528,Alien Greed 2,,2008,4
529,Alien Greed 3,,2010,4
530,Alien Greed 4,,2012,4
531,Bee-Ball,,2007,4
532,Bell Hopper,,2011,4
533,Boulder Dash,,2011,4
534,Climber 5,,2004,4
535,Conquest of Mars,,2006,4
536,Duck Attack!,,2010,4
537,Edtris 2600,,1995,4
538,Euchre,,2002,4
539,Fall Down,,2005,4
540,FlapPing,,2004,4
541,Four-Play,,2006,4
542,Go Fish!,,2005,4
543,Gunfight,,2001,4
544,Halo 2600,,2010,4
545,Hunchy II,,2005,4
546,Jammed,,2001,4
547,Juno First,,2009,4
548,K.O. Cruiser,,2010,4
549,Lady Bug,,2006,4
550,Marble Craze,,2002,4
551,Mean Santa,,2009,4
552,Medieval Mayhem,,2006,4
553,Okie Dokie,,1996,4
554,Oystron,,1997,4
555,Pesco,,1999,4
556,Pressure Gauge,,1999,4
557,Qb,,2001,4
558,SCSIcide,,2001,4
559,Seawolf,,2004,4
560,Skeleton+,,2003,4
561,Snappy,,2012,4
562,Sound X,,1994,4
563,Space Rocks,,2013,4
564,Space Treat Deluxe,,2003,4
565,Space Instigators,,2002,4
566,Squish 'Em,,2007,4
567,Star Fire,,2003,4
568,Stay Frosty,,2007,4
569,Stay Frosty 2,,2014,4
570,Stell-A-Sketch/Okie Dokie,,1997,4
571,Strat-O-Gems Deluxe,,2005,4
572,SWOOPS!,,2005,4
573,Synthcart,,2002,4
574,The Wicked Father,,2011,4
575,Thrust,,2000,4
576,Toyshop Trouble,,2007,4
577,Turbo,,2010,4
578,Vault Assault,,2001,4
579,Vong,,2008,4
580,Warring Worms,,2002,4
